Level,# of Buttons,Min_Tap,Min_Drag,Min_Flick,Min_Rotation,Min_ColourSwap,Min_Random,EndLength,Rand_Tap,Rand_Drag,Rand_Flick,Rand_Rotation,Rand_ColourSwap,StartLength,Replay Cost,Win Artifact,Notes,Slow Build,Level id
31,5,0,0,0,3,0,2,5,TRUE,TRUE,TRUE,FALSE,FALSE,4,1,2,,,5B0T0D0F3R0C2X4S
32,4,1,1,1,3,0,1,7,TRUE,TRUE,TRUE,TRUE,FALSE,4,1,2,,,4B1T1D1F3R0C1X4S
33,5,1,1,1,3,0,1,7,TRUE,TRUE,TRUE,TRUE,FALSE,4,1,2,,,5B1T1D1F3R0C1X4S
34,4,2,2,2,3,0,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,2,,,4B2T2D2F3R0C0X4S
35,5,0,2,2,3,0,2,9,TRUE,TRUE,TRUE,TRUE,FALSE,4,1,2,,,5B0T2D2F3R0C2X4S
36,3,1,1,1,3,0,2,8,TRUE,TRUE,TRUE,TRUE,FALSE,8,1,2,,,3B1T1D1F3R0C2X8S
37,4,1,1,1,3,0,2,8,TRUE,TRUE,TRUE,TRUE,FALSE,8,1,2,,,4B1T1D1F3R0C2X8S
38,5,1,1,1,3,0,2,8,TRUE,TRUE,TRUE,TRUE,FALSE,8,1,2,,,5B1T1D1F3R0C2X8S
39,4,0,3,3,3,0,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,2,,,4B0T3D3F3R0C0X4S
40,5,0,3,3,3,0,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,3,,,5B0T3D3F3R0C0X5S
41,5,1,2,2,3,0,2,10,TRUE,TRUE,TRUE,TRUE,FALSE,5,1,3,,,5B1T2D2F3R0C2X5S
42,4,2,2,2,3,0,2,11,TRUE,TRUE,TRUE,TRUE,FALSE,5,1,3,,,4B2T2D2F3R0C2X5S
43,5,2,3,3,3,0,0,11,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,3,,,5B2T3D3F3R0C0X5S
44,4,2,3,3,4,0,0,12,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,3,,,4B2T3D3F4R0C0X5S
45,5,2,3,3,4,0,0,12,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,3,,,5B2T3D3F4R0C0X5S
46,4,0,2,2,5,0,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,9,2,3,,,4B0T2D2F5R0C0X9S
47,5,0,2,2,5,0,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,9,2,3,,,5B0T2D2F5R0C0X9S
48,4,2,3,3,6,0,0,14,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,,,4B2T3D3F6R0C0X5S
49,5,2,3,3,6,0,0,14,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,,,5B2T3D3F6R0C0X5S
50,4,0,0,0,0,2,3,5,TRUE,TRUE,TRUE,TRUE,FALSE,5,2,3,Introduces the player to the colour swap mechanic. Note that this level is designed so that at least one of the first 3 moves is a colour swap. End of Tutorial.,,4B0T0D0F0R2C3X5S
51,5,0,0,0,0,2,3,5,TRUE,TRUE,TRUE,TRUE,FALSE,5,2,3,,,5B0T0D0F0R2C3X5S
52,3,1,1,1,1,1,1,6,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,3,,,3B1T1D1F1R1C1X6S
53,4,1,1,1,1,1,1,6,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,3,,,4B1T1D1F1R1C1X6S
54,5,1,1,1,1,1,1,6,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,3,,,5B1T1D1F1R1C1X6S
55,4,1,2,2,2,2,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,,,4B1T2D2F2R2C0X5S
56,5,1,2,2,2,2,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,,,5B1T2D2F2R2C0X5S
57,4,0,2,2,2,2,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,3,,,4B0T2D2F2R2C2X5S
58,5,0,2,2,2,2,2,10,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,3,,,5B0T2D2F2R2C2X5S
59,4,1,2,2,2,2,2,11,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,3,,,4B1T2D2F2R2C2X5S
60,5,1,2,2,2,2,2,11,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,3,,,5B1T2D2F2R2C2X5S
61,4,0,2,3,3,3,0,11,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,,,4B0T2D3F3R3C0X5S
62,5,0,3,2,3,3,0,11,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,,,5B0T3D2F3R3C0X5S
63,4,0,3,3,3,3,0,12,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,,,4B0T3D3F3R3C0X5S
64,5,0,3,3,3,3,0,12,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,3,,,5B0T3D3F3R3C0X5S
65,4,2,2,2,2,2,2,12,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,3,,,4B2T2D2F2R2C2X5S
66,5,2,2,2,2,2,2,12,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,3,,,5B2T2D2F2R2C2X5S
67,3,2,2,2,2,2,2,12,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,3B2T2D2F2R2C2X8S
68,4,2,2,2,2,2,2,12,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,4B2T2D2F2R2C2X8S
69,5,2,2,2,2,2,2,12,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,5B2T2D2F2R2C2X8S
70,4,2,2,2,2,2,3,13,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,4B2T2D2F2R2C3X6S
71,5,2,2,2,2,2,3,13,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,5B2T2D2F2R2C3X6S
72,4,2,4,4,2,1,0,13,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,4,,,4B2T4D4F2R1C0X6S
73,5,2,4,4,2,1,0,13,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,4,,,5B2T4D4F2R1C0X6S
74,4,2,2,2,4,3,0,13,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,4,,,4B2T2D2F4R3C0X6S
75,5,2,2,2,4,3,0,13,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,4,,,5B2T2D2F4R3C0X6S
76,4,2,2,2,2,2,4,14,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,4B2T2D2F2R2C4X6S
77,5,2,2,2,2,2,4,14,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,5B2T2D2F2R2C4X6S
78,4,2,2,2,2,2,5,15,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,4B2T2D2F2R2C5X6S
79,5,2,2,2,2,2,5,15,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,5B2T2D2F2R2C5X6S
80,4,2,2,2,2,2,6,16,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,4B2T2D2F2R2C6X6S
81,5,2,2,2,2,2,6,16,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,5B2T2D2F2R2C6X6S
82,4,2,2,2,2,2,7,17,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,4B2T2D2F2R2C7X6S
83,5,2,2,2,2,2,7,17,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,5B2T2D2F2R2C7X6S
84,4,2,2,2,2,2,8,18,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,4B2T2D2F2R2C8X6S
85,5,2,2,2,2,2,8,18,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,5B2T2D2F2R2C8X6S
86,4,2,2,2,2,2,9,19,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,4B2T2D2F2R2C9X6S
87,5,2,2,2,2,2,9,19,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,5B2T2D2F2R2C9X6S
88,4,3,3,3,3,3,5,20,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,4B3T3D3F3R3C5X6S
89,5,3,3,3,3,3,5,20,TRUE,TRUE,TRUE,TRUE,TRUE,6,2,4,,,5B3T3D3F3R3C5X6S
90,4,3,3,3,3,3,6,21,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,4B3T3D3F3R3C6X8S
91,5,3,3,3,3,3,6,21,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,5B3T3D3F3R3C6X8S
92,4,3,3,3,3,3,7,22,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,4B3T3D3F3R3C7X8S
93,5,3,3,3,3,3,7,22,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,5B3T3D3F3R3C7X8S
94,4,3,3,3,3,3,8,23,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,4B3T3D3F3R3C8X8S
95,5,3,3,3,3,3,8,23,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,5B3T3D3F3R3C8X8S
96,4,3,3,3,3,3,9,24,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,4B3T3D3F3R3C9X8S
97,5,3,3,3,3,3,9,24,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,4,,,5B3T3D3F3R3C9X8S
98,4,3,3,3,3,3,9,24,TRUE,TRUE,TRUE,TRUE,TRUE,9,2,4,,,4B3T3D3F3R3C9X9S
99,5,3,3,3,3,3,9,24,TRUE,TRUE,TRUE,TRUE,TRUE,9,2,4,,,5B3T3D3F3R3C9X9S
100,5,3,3,4,3,3,9,25,TRUE,TRUE,TRUE,TRUE,TRUE,9,2,4,,,5B3T3D4F3R3C9X9S
